taxonID,scientificName,Cabinet,subfamily,tribe,subgenus,author,taxonRank,genus,specificEpithet,infraspecificEpithet
APOSP,Apotominae sp.,#N/A,Apotominae,,,LeConte,subfamily,,sp.,
BRAAAB,Brachinus aabaaba,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,aabaaba,
BRAADU,Brachinus adustipennis,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,adustipennis,
BRAAEG,Brachinus aeger,6,Brachininae,Brachinini,Neobrachinus,Chaudoir,species,Brachinus,aeger,
BRAALE,Brachinus alexiguus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,alexiguus,
BRAALT,Brachinus alternans,6,Brachininae,Brachinini,Neobrachinus,Dejean,species,Brachinus,alternans,
BRAAME,Brachinus americanus,6,Brachininae,Brachinini,Neobrachinus,LeConte,species,Brachinus,americanus,
BRAARB,Brachinus arboreus,6,Brachininae,Brachinini,Neobrachinus,Chevrolat,species,Brachinus,arboreus,
BRAAZU,Brachinus azureipennis,6,Brachininae,Brachinini,Neobrachinus,Chaudoir,species,Brachinus,azureipennis,
BRABIL,Brachinus bilineatus,6,Brachininae,Brachinini,Neobrachinus,Laporte,species,Brachinus,bilineatus,
BRABRU,Brachinus brunneus,6,Brachininae,Brachinini,Neobrachinus,Castelnau,species,Brachinus,brunneus,
BRACAP,Brachinus capnicus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,capnicus,
BRACHA,Brachinus chalchihuitlicue,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,chalchihuitlicue,
BRACHI,Brachinus chirriador,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,chirriador,
BRACIB,Brachinus cibolensis,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,cibolensis,
BRACIN,Brachinus cinctipennis,6,Brachininae,Brachinini,Neobrachinus,Chevrolat,species,Brachinus,cinctipennis,
BRACON,Brachinus consanguineus,6,Brachininae,Brachinini,Neobrachinus,Chaudoir,species,Brachinus,consanguineus,
BRACON1,Brachinus conformis,6,Brachininae,Brachinini,Neobrachinus,Dejean,species,Brachinus,conformis,
BRACOR,Brachinus cordicollis,6,Brachininae,Brachinini,Neobrachinus,Dejean,species,Brachinus,cordicollis,
BRACOS,Brachinus costipennis,6,Brachininae,Brachinini,Neobrachinus,Motschulsky,species,Brachinus,costipennis,
BRACYA1,Brachinus cyanipennis,6,Brachininae,Brachinini,Neobrachinus,Say,species,Brachinus,cyanipennis,
BRACYA2,Brachinus cyanochroaticus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,cyanochroaticus,
BRAELO,Brachinus elongatulus,6,Brachininae,Brachinini,Neobrachinus,Chaudoir,species,Brachinus,elongatulus,
BRAEXP,Brachinus explosus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,explosus,
BRAFAV,Brachinus favicollis,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,favicollis,
BRAFUL,Brachinus fulminatus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,fulminatus,
BRAFUM,Brachinus fumans,6,Brachininae,Brachinini,Neobrachinus,Fabricius,species,Brachinus,fumans,
BRAGAL,Brachinus galactoderus,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,galactoderus,
BRAGEB,Brachinus gebhardis,6,Brachininae,Brachinini,Neobrachinus,Erwin,species,Brachinus,gebhardis,
