taxonID,scientificName,Cabinet,subfamily,tribe,subgenus,labelName,scientificNameAuthorship,taxonRank,nameAccordingToID,nameAccordingToTitle,family,genus,specificEpithet,infraspecificEpithet,acceptedTaxonID,accepted,PhylogeneticOrder
ANOATR,Anopheles atropos,19,Anophelinae,,Anopheles,Anopheles (Anopheles) atropos ,"Dyar and Knab, 1906",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,atropos,,ANOATR,1,1
ANOAZT,Anopheles aztecus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) aztecus ,"Hoffmann, 1935",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,aztecus,,ANOAZT,1,2
ANOBAR,Anopheles barberi,19,Anophelinae,,Anopheles,Anopheles (Anopheles) barberi ,"Coquillett, 1903",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,barberi,,ANOBAR,1,3
ANOBRA,Anopheles bradleyi,19,Anophelinae,,Anopheles,Anopheles (Anopheles) bradleyi ,"King, 1939",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,bradleyi,,ANOBRA,1,4
ANOCRU,Anopheles crucians,19,Anophelinae,,Anopheles,Anopheles (Anopheles) crucians ,"Wiedemann, 1828",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,crucians,,ANOCRU,1,5
ANODIL,Anopheles diluvialis,19,Anophelinae,,Anopheles,Anopheles (Anopheles) diluvialis ,"Reinert, 1997",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,diluvialis,,ANODIL,1,6
ANOEAR,Anopheles earlei,19,Anophelinae,,Anopheles,Anopheles (Anopheles) earlei ,"Vargas, 1943",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,earlei,,ANOEAR,1,7
ANOFRA,Anopheles franciscanus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) franciscanus ,"McCracken, 1904",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,franciscanus,,ANOFRA,1,8
ANOFRE,Anopheles freeborni,19,Anophelinae,,Anopheles,Anopheles (Anopheles) freeborni ,"Aitken, 1939",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,freeborni,,ANOFRE,1,9
ANOGEO,Anopheles georgianus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) georgianus ,"King, 1939",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,georgianus,,ANOGEO,1,10
ANOGRA,Anopheles grabhamii,19,Anophelinae,,Anopheles,Anopheles (Anopheles) grabhamii ,"Theobald, 1901",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,grabhamii,,ANOGRA,1,11
ANOHER,Anopheles hermsi,19,Anophelinae,,Anopheles,Anopheles (Anopheles) hermsi ,"Barr and Guptavanij, 1989",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,hermsi,,ANOHER,1,12
ANOINU,Anopheles inundatus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) inundatus ,"Reinert, 1997",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,inundatus,,ANOINU,1,13
ANOJUD,Anopheles judithae,19,Anophelinae,,Anopheles,Anopheles (Anopheles) judithae ,"Zavortink, 1969",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,judithae,,ANOJUD,1,14
ANOMAV,Anopheles maverlius,19,Anophelinae,,Anopheles,Anopheles (Anopheles) maverlius ,"Reinert, 1997",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,maverlius,,ANOMAV,1,15
ANOOCC,Anopheles occidentalis,19,Anophelinae,,Anopheles,Anopheles (Anopheles) occidentalis ,"Dyar and Knab, 1906",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,occidentalis,,ANOOCC,1,16
ANOPER,Anopheles perplexens,19,Anophelinae,,Anopheles,Anopheles (Anopheles) perplexens ,"Ludlow, 1907",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,perplexens,,ANOPER,1,17
ANOPSE,Anopheles pseudopunctipennis,19,Anophelinae,,Anopheles,Anopheles (Anopheles) pseudopunctipennis ,"Theobald, 1901",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,pseudopunctipennis,,ANOPSE,1,18
ANOPUN,Anopheles punctipennis,19,Anophelinae,,Anopheles,Anopheles (Anopheles) punctipennis ,"(Say, 1823)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,punctipennis,,ANOPUN,1,19
ANOQUA,Anopheles quadrimaculatus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) quadrimaculatus ,"Say, 1824",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,quadrimaculatus,,ANOQUA,1,20
ANOSMA,Anopheles smaragdinus,19,Anophelinae,,Anopheles,Anopheles (Anopheles) smaragdinus ,"Ribeiro, 1997",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,smaragdinus,,ANOSMA,1,21
ANOVES,Anopheles vestitipennis,19,Anophelinae,,Anopheles,Anopheles (Anopheles) vestitipennis ,"Dyar and Knab, 1906",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,vestitipennis,,ANOVES,1,22
ANOWAL,Anopheles walkeri,19,Anophelinae,,Anopheles,Anopheles (Anopheles) walkeri ,"Theobald, 1901",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,walkeri,,ANOWAL,1,23
ANOALB,Anopheles albimanus,19,Anophelinae,,Nyssorhynchus,Anopheles (Nyssorhynchus) albimanus ,"Wiedemann, 1820",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Anopheles,albimanus,,ANOALB,1,24
AEDSQU1,Aedeomyia squamipennis,19,Culicinae,Aedini,Aedeomyia,Aedeomyia (Aedeomyia) squamipennis ,"(Lynch Arribalzaga, 1878)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedeomyia,squamipennis,,AEDSQU1,1,25
AEDPAP,Aedes papago,19,Culicinae,Aedini,Abraedes,Aedes (Abraedes) papago ,"Zavortink, 1970",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,papago,,AEDPAP,1,26
AEDCIN,Aedes cinereus,19,Culicinae,Aedini,Aedes,Aedes (Aedes) cinereus ,"Meigen, 1818",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,cinereus,,AEDCIN,1,27
AEDVEX2,Aedes vexans nipponii,19,Culicinae,Aedini,Aedimorphus,Aedes (Aedimorphus) vexans nipponii,"(Theobald, 1907)",subspecies,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,vexans,nipponii,AEDVEX2,1,28
AEDNOC,Aedes vexans nocturnus,19,Culicinae,Aedini,Aedimorphus,Aedes (Aedimorphus) vexans nocturnus,"Theobald, 1903",subspecies,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,vexans,nocturnus,AEDNOC,1,29
AEDVEX1,Aedes vexans vexans,19,Culicinae,Aedini,Aedimorphus,Aedes (Aedimorphus) vexans vexans,"(Meigen, 1830)",subspecies,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,vexans,vexans,AEDVEX1,1,30
AEDVEX,Aedes vexans,19,Culicinae,Aedini,Aedimorphus,Aedes (Aedimorphus) vexans ,"(Meigen, 1830)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,vexans,,AEDVEX,1,31
AEDATR,Aedes atropalpus,19,Culicinae,Aedini,Georgecraigius,Aedes (Georgecraigius) atropalpus ,"(Coquillett, 1902)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,atropalpus,,AEDATR,1,32
AEDEPA,Aedes epactius,19,Culicinae,Aedini,Georgecraigius,Aedes (Georgecraigius) epactius ,"(Dyar and Knab, 1908)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,epactius,,AEDEPA,1,33
AEDMED,Aedes mediovittatus,19,Culicinae,Aedini,Gymnometopa,Aedes (Gymnometopa) mediovittatus ,"(Coquillett, 1906)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,mediovittatus,,AEDMED,1,34
AEDBAH,Aedes bahamensis,19,Culicinae,Aedini,Howardina,Aedes (Howardina) bahamensis ,"Berlin, 1969",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,bahamensis,,AEDBAH,1,35
AEDJAP,Aedes japonicus,19,Culicinae,Aedini,Hulecoeteomyia,Aedes (Hulecoeteomyia) japonicus ,"(Theobald, 1901)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,japonicus,,AEDJAP,1,36
AEDDES,Aedes deserticola,20,Culicinae,Aedini,Jarnellius,Aedes (Jarnellius) deserticola ,"Zavortink, 1970",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,deserticola,,AEDDES,1,37
AEDMON,Aedes monticola,20,Culicinae,Aedini,Jarnellius,Aedes (Jarnellius) monticola ,"Belkin and McDonald, 1957",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,monticola,,AEDMON,1,38
AEDSIE,Aedes sierrensis,20,Culicinae,Aedini,Jarnellius,Aedes (Jarnellius) sierrensis ,"(Ludlow, 1905)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,sierrensis,,AEDSIE,1,39
AEDVAR,Aedes varipalpus,20,Culicinae,Aedini,Jarnellius,Aedes (Jarnellius) varipalpus ,"(Coquillett, 1902)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,varipalpus,,AEDVAR,1,40
AEDPUR,Aedes purpureipes,20,Culicinae,Aedini,Kompia,Aedes (Kompia) purpureipes ,"Aitken, 1941",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,purpureipes,,AEDPUR,1,41
AEDMUE,Aedes muelleri,20,Culicinae,Aedini,Lewnielsenius,Aedes (Lewnielsenius) muelleri ,"Dyar, 1920",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,muelleri,,AEDMUE,1,42
AEDABO,Aedes aboriginis,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) aboriginis ,"Dyar, 1917",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,aboriginis,,AEDABO,1,43
AEDABS,Aedes abserratus,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) abserratus ,"(Felt and Young, 1904)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,abserratus,,AEDABS,1,44
AEDALO,Aedes aloponotum,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) aloponotum ,"Dyar, 1917",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,aloponotum,,AEDALO,1,45
AEDATA,Aedes atactavittatus,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) atactavittatus ,"Arnell, 1976",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,atactavittatus,,AEDATA,1,46
AEDATL,Aedes atlanticus,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) atlanticus ,"Dyar and Knab, 1906",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,atlanticus,,AEDATL,1,47
AEDAUR,Aedes aurifer,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) aurifer ,"(Coquillett, 1903)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,aurifer,,AEDAUR,1,48
AEDBIM,Aedes bimaculatus,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) bimaculatus ,"(Coquillett, 1902)",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,bimaculatus,,AEDBIM,1,49
AEDCAM,Aedes campestris,20,Culicinae,Aedini,Ochlerotatus,Aedes (Ochlerotatus) campestris ,"Dyar and Knab, 1907",species,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Culicidae,Aedes,campestris,,AEDCAM,1,50
